food_no,food_name,food_dsc,food_star,food_review_count,food_class_no,food_img_url
11,가지전,가지전 : 껍질을 벗겨 어슷하게 썬 가지에 소금 간을 하고 밀가루와 달걀물을 입혀 식용유를 두른 팬에 지진 것이다.,0,0,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaegv1hFjXKEjvURA9mQCJid_7W9GZx_XcYjhOmlzRkyYfCaeNNMSPM4AdhUU&s
12,간장게장,간장게장 : 손질한 꽃게에 달여 식힌 양념간장을 부어 담근 한국 고유의 젓갈,0,0,27,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTo4Rp62daU4Ln2KjTHDexx3QdmzqDFIkNZIIZQHYT-JLEmOZwvZUK009vIb08&s
13,간장마늘쫑장아찌,마늘종장아찌 : 5~6월 햇 마늘이 나오기 시작하면서 제철인 마늘종을 소금에 살짝 절였다가 달인 간장에 담가 입맛 잃은 여름에 먹는 장아찌,0,0,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNjf0S23K6VpyUXQByOt5c0O6oFRmYaFS7_k-Fv7BDkNwBdV5pn-HNNNqQtmk&s
14,간장양념닭다리구이,간장양념닭구이 : 닭고기를 저며 소금을 뿌리고 간장이나 고추장 등으로 양념을 하여 구운 것,0,0,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3gbca6EvqAwgHXf9qKWvNOk-W2VguuTM1T8cTymMAPOUXbaIZI-vf9BCJnJI&s
15,간장양념치킨,간장양념치킨 : 적당한 크기로 자른 닭고기를 밑간하여 식용유에 튀겨 간장이나 고추장 등으로 만든 양념에 버무린 음식이다.,0,0,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgDhxt789YJS6H9RF4_mhGWs7jiBKmOOuMHX1Q76gaEDQ8rb1zd__9cXTWn6M&s
16,간장찜닭,안동찜닭 : 경상북도 안동에서 유래한 음식으로 삶은 닭에 소스 온갖 채소와 양념을 섞어 졸인 요리,0,0,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsrhX8df_D-DWl-20hV9U5bbXsaLQdeGrCDiPcaxG3x8xbHbAgMRx0k6pTEQ&s
17,간재미회무침,"간재미회무침 : 얇게 저며 썬 간재미를 막걸리에 담가 주물러 물기를 뺀 다음 당근, 양파, 풋고추와 함께 초고추장(고추장, 식초, 다진 마늘, 설탕, 깨소금)으로 버무린 것",0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKor_B7Z4hSzoDZVv1LQ80zIOYGVlHJ64OYn9NDRmAWk6TXRaOdil1Kgx-Q2k&s
18,간짜장,"간짜장 : 짜장면의 한 종류로 기름에 볶은 춘장에 돼지고기, 야채 등을 넣고 한 번 더 볶은 뒤, 삶은 국수와 비벼 먹는 한국식 중화요리",0,0,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7t8iuw1kq069RH7TWBTMMWCOzatEr6wwutkE-zbJ1MhdU4Yr149LRF6P2r1w&s
19,갈낙탕,갈낙탕 : 소갈비와 낙지를 넣어 끓인 탕 요리로 전라남도 영암군의 향토음식,0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg_rS62su63JgpZM22xGW0ot78HdEXG7esBp2Lj-V-4utFJnJO2Ywl1J9jsA&s
20,갈비탕,갈비탕 : 쇠갈비로 만든 탕,0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrfUW2Uj7XRNdtvWfTtFp61ERN2b6ptYl8gW71-tiVVrF8ov3D6IjUmapQjdA&s
21,갈치구이,갈치구이 : 갈치를 토막 내 팬이나 석쇠에 구워 먹는 요리,0,0,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXn5QGZBbSleFxkLZidKa-BO8cRC4tkpeWQpdYn_VG1_V8oxRvuOccwMucYOk&s
22,갈치조림,"갈치조림 : 토막 낸 갈치에 감자, 무 등을 넣고 고추장을 풀어 매콤하게 조린 요리",0,0,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt0L1uzYD8EOJZ0_cF07ifhWhNi7N4w0fqtFVnOMNqtzseQd8ZlvmAkvo6DhA&s
23,갈치찌개,"갈치찌개 : 토막 낸 갈치를 애호박과 함께 끓이다 고춧가루, 다진 마늘, 소금 등을 넣어 끓여낸 찌개 요리",0,0,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCCIFLsGlOlchYEfUCNS1jdVrithD_N8cECO5Z-rRtmileSVjyIAea70ZTF5M&s
24,감자구이,"감자구이 : 감자를 껍질째 혹은 껍질을 벗겨 구운 감자요리, 치즈나 케첩과 같은 소스를 뿌려먹기도 한다.",0,0,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKxsCXHDA-9De29PrDLnUi5zdK-X0kbsHJcGF13srjFIGdaSNG5BDs5RhojUQ&s
25,감자국,감자국 : 먹기 좋은 크기로 썬 감자에 장국을 넣어 끓인 국 요리. 감자에 장국을 넣어 끓인 국으로 맛이 구수하면서 부드러워 과거부터 서민들이 즐겨 먹었던 음식이다.,0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2D8MgFdJ8Qiju3B211LMWIsCEYy3RLp6ksf_qiZdUU-doTbN9gSbRTyE0iw&s
26,감자된장국,"된장국 : 된장을 푼 국물에 고기나 어패류, 채소(감자) 등을 넣고 끓인 국이다.",0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxBS7j6fPaqWHUapO9xEdRk2ct9t2U8Dba7awcNCUhD0EhzpaQI8a8I64mDA&s
27,감자볶음,"감자볶음 : 채 썬 감자와 양파를 식용유를 두른 팬에 볶다가 어슷하게 썬 파, 간장, 다진 마늘로 양념하여 볶은 것으로 설탕을 넣기도 한다.",0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8PfU10CQ4SPSOPEydsAV1MfMmQoYueGbCE-lGiZyD_RpDzcAGTmaOXpfn8g&s
28,감자샐러드,감자샐러드 : 감자로 만든 샐러드 요리,0,0,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrekr4vsX663DR13t8anqL5ZCccvAQ9OZ9wzdk7lO9U8Ty5JRpedB6mGmIomU&s
29,감자전,감자전 : 감자건더기와 앙금에 소금을 넣어 반죽하고 번철에 지진 전,0,0,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKqvRCCr6WAuZJlPv-UCkcRRzfpD_hNCxnufAVNFMJJhvnB84WWVCmJ-45YQ&s
30,감자조림,감자조림 : 감자를 썰어 기름에 살짝 볶은 다음 간장과 설탕을 넣어 조린 구수하고 달콤한 음식이다.,0,0,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0j8iSqh94Rumuiekxq029ExbLTHbITijXjYcmtzRAJpMYJ2ZcBTLczgGu6Qg&s
31,감자채소볶음,"감자볶음 : 채 썬 감자와 양파를 식용유를 두른 팬에 볶다가 어슷하게 썬 파, 간장, 다진 마늘로 양념하여 볶은 것으로 설탕을 넣기도 한다.",0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmtNvY1izaVd9OfkUyVHqlpPR9-I2Rwyg-Aa8npmPdyr5kur8Xq3X1bK064g&s
32,감자크로켓,크로켓 : 재료를 잘게 썰거나 으깨 달걀이나 소스를 넣고 빚은 뒤 달걀 푼 것과 빵가루를 묻혀 기름에 튀겨 낸 서양음식,0,0,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXU4xDO7tZlQqls0UR-k8QPUtCwui3LrsfYYS31NA-jG9ONX5komSVVMqf9U8&s
33,감자탕,"감자탕 : 돼지 등뼈와 감자, 우거지, 갈은 들깨, 파, 마늘 따위의 양념을 넣어 진하고 맵게 끓인 탕",0,0,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtE9QQNUrIiTgRKvsz263a0WBnk8WxYHEbCFIpFEk83a327pVDeR0vkpYOrpo&s
34,감자튀김,"감자튀김 : 감자를 잘라 기름에 튀긴 음식으로 소금, 케첩, 마요네즈, 그레이비소스 등을 곁들여 먹는다.",0,0,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3HhRp6EdgvG-iMkygKTuWcZKX49fQCDruyfSbWOaBS9GqFF4zmlmLTkgDBg&s
35,감잣국,"감잣국 : 된장을 푼 멸치장국국물에 부채꼴로 썬 감자를 넣고 끓이다가 어슷하게 썬 대파, 다진 마늘을 넣고 한소끔 끓인 국이다.",0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNO9J_UEDtofezOG53WFJouvVKjlPeQpWaz3ohPSl99JCaE5nqWcEUbTdA7g&s
36,갑오징어무침,"오징어무침 : 내장을 제거한 갑오징어를 반 갈라 사선으로 칼집을 넣은 후 적당한 크기로 썰어 끓는 물에 데쳐서 초고추장 양념(고추장, 설탕, 식초, 다진 파ㆍ마늘ㆍ생강, 깨소금, 참기름)으로 무친 것이다.",0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs2GqDg5sfOprcLOcPZZigRlZ0fkju139gXZNhShLkj4g2Jvk4evmKKxuz7g&s
37,갓김치,갓김치 : 갓에 실파를 섞어서 고춧가루와 멸치젓을 많이 넣은 전라도식 김치,0,0,21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR80T4vFvMQYNRIib2TfWP6nQT5J0ayRz5Xd18gF43Zz4DUYxUcKzdkjAUBOQ&s
38,개고기무침,NULL,0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5I8XvFIQQOgYoraEcQrXe_CwSiHhl8KTj1kyACJOwRYbevbj1EoWl2UHBdyU&s
39,개고기전골,NULL,0,0,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr_3OO0DWc1FbKu5EqGjYAvGRCwDKt1xEwBr4WVfzHQ5Q3V3GlJiniZZvq3dU&s
40,건취나물,"건취나물 : 취나물국화과에 속하는 풀인 취 중에서 식용 가능한 종류, 말린 것",0,0,23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVQFKyGetvfP5GfjGix4mZoA2P2WuhV29yMUGGwP-NxQWUBnfS2abfY4c1gkM&s
41,건갈치조림,"갈치조림 : 토막 낸 갈치에 감자, 무 등을 넣고 고추장을 풀어 매콤하게 조린 요리",0,0,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2toxjLzHe1s-G77qsh9q00ckSCVij3b525A1uaHq5Y313fQKoYPMmRdRulQ&s
42,건새우볶음,"건새우볶음 : 말린 새우를 볶고나서 소금, 설탕을 뿌려 간을 맞춘다",0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgl8XCs_sl-o_eqJxm8_UCaDgJyNepHfse6qRCwrCJWgkS99kcTsqBrQuuwg&s
43,건표고버섯볶음,표고버섯볶음 : 말린 표고버섯을 부드럽게 불려서 양념하여 볶은 음식이다.,0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5MJMz8boRC__bytwuAOaJrZ3sDipJWklH1fko77_fFmp82cXIZ4cO6z_umQ&s
44,검정콩밥,검은콩밥 : 검은콩과 쌀은 섞어지은 밥,0,0,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAQzV-DFoM9lU9jvHdDtMJ6b4iWPKIfAfiGvTvBYW945lG-8UlP0CLOyIfnlw&s
45,게국지,"게국지김치 : 가을철에 얼갈이배추, 게국간장, 늙은 호박, 무, 홍고추, 쪽파 등을 넣어 담근 김치",0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjq1amgdzKZ04HxpcGXLbedp5v0jkuQoCaAH3o20smnbvHREDBfwBdzfDKbA&s
46,게살죽,"게살죽 : 냄비에 참기름을 두르고 불린 쌀을 넣어 달달 볶다가 육수를 넣고, 마지막에 게살을 넣어 한소끔 끓인다.",0,0,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1xq3EeBFFpaNNxeTAfAKHUpTdVP-HI4DyAU5h4VnTLu2WkDzbCM_-5Rzllew&s
47,경단,경단 : 한국 고유의 떡,0,0,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ-CsX0fGBt8Wo6mwey_pYYYO8BJ14IdZ8YfrF15v1xlUFexgQoud2Sof-aE0&s
48,계란볶음밥,계란볶음밥 : 고슬고슬하게 밥을 지은 뒤 계란과 함께 볶아 먹는 음식,0,0,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxfq9myD0FTE0hYMdHZBfQFQzvkCu_Es-ZuGnSK0sSQc1KRpGwzmmOE11s2Kw&s
49,고구마맛탕,"고구마맛탕 : 껍질을 벗겨 한 입 크기로 썬 고구마에 녹말가루를 묻혀 식용유에 튀겨 낸 뒤 설탕, 물엿 등으로 만든 시럽에 버무린 다음 검은깨를 뿌려 식힌 후식이다.",0,0,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmTKa7MjbTlfhQbVrD5JFBUCgnnfI1AC_0nIxEMc24178ljv5jNmPpdC02JZ0&s
50,고구마전,고구마전 : 얇게 썬 고구마에 밀가루를 묻혀 지진 것이다.,0,0,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFpJcCjzn-2K1Ph1mRdSsYH8yozmPR-hyCIBsYjdFbEur6wXXiWA3rqVn0XQ&s
51,고구마줄기나물,고구마줄기나물 : 고구마줄기로 볶아 먹는 나물,0,0,23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeKSr2xj8KGDYwjBcNfAavwMdptf4d4dqGJowg6bYoFJNbI0VOaaux9BrYrg&s
52,고구마튀김,고구마튀김 : 고구마를 먹기 좋은 크기로 썰어 밀가루와 밀가루반죽을 묻혀 기름에 튀긴 음식이다.,0,0,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUEDkPxOYZSmFUluntek6_Y9Ofj1Kow3JdbUJH9Vi0F7nYcczdTlPnOq9Hpg&s
53,고기만두,"고기만두 : 만두피나 만두소의 재료, 익히는 방법에 따라 다양한 만두가 있다.",0,0,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRMQGv5BbVqzPANVE6Pc6wYtZ9MMnEt6Xj4-R6Dpdqk2uu5cFawh1eaM9EIQ&s
54,고들빼기,고들빼기김치 : 고들빼기를 주재료로 하여 여러 가지를 섞어서 만든 김치,0,0,21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRK8cKDXbj-KIzgsbsiEFoQl9Lcneqgfb9Pt6Tebr72Cf7cy9lBHkzeBCfbuA&s
55,고들빼기김치,고들빼기김치 : 고들빼기를 주재료로 하여 여러 가지를 섞어서 만든 김치,0,0,21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7sLbpetTEsx2rtFEZn2vWfN48LSgHDQ5kr_1PSVDXSuNTKlMceRY1_ZBa2Q&s
56,고등어구이,고등어구이 : 손질한 고등어를 석쇠나 팬에 구워 먹는 요리,0,0,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7Fe-iK30xIewh6esS1Xw81amGU4g2NbIw9fuqbcsJNrMF7qG5cUSlvLvZtv8&s
57,고등어조림,고등어조림 : 고등어를 토막내어 양념장을 넣고 조린 음식,0,0,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrTCiHSUMyn-mMP-UeMFmO41Lib-c_JzIA3ObXLC948ykTvv5dVksbJSXSVNU&s
58,고등어찌개,"고등어찌개 : 고추장, 된장을 푼 물을 팔팔 끓이다가 토막 낸 고등어와 납작하게 썬 무를 넣고 오랫동안 뭉근하게 끓인 후 어슷하게 썬 파, 다진 마늘ㆍ생강, 고춧가루로 양념하고 소금으로 간을 한 것이다.",0,0,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrTCiHSUMyn-mMP-UeMFmO41Lib-c_JzIA3ObXLC948ykTvv5dVksbJSXSVNU&s
59,고등어튀김,고등어튀김 : 끓는 기름에 고등어를 밀가루에 묻혀 튀겨낸 요리,0,0,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0-NUy1Jze7eXyaSeASBdjS5to6KULlK7Kt6vFC6JSk9QY5EZs3XlX4W_arA&s
60,고로케,"고로케 : 고로케(コロッケ)는 으깬 감자, 볶은 양파, 다진 고기를 섞어 둥글게 빚은 후 밀가루, 달걀, 빵가루를 입혀 기름에 튀긴 일본 음식이다.",0,0,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3oWhLoOmqdrf_b4Fqo0R_27kq7gP1U4tMm9820Qb5YZCpwVVFAXDs1enPqg&s
61,고사리나물,"고사리볶음 : 고사리에 식용유를 넣고 깨소금, 소금, 참기름을 넣어 살짝 볶아 낸 것",0,0,23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi38oYC3V9UxLjGDpRUDraS7agZP3LvsvG5gz2vYX1SofxDhgTu0JbO5mssw&s
62,고추김밥,"고추김밥 : 김에 밥과 여러 가지 재료를 넣고 말아 싼 음식, 특히 고추가 들어간다.",0,0,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbT48bEFFATe3UP92-0yM9JNFcB2RHuXlnTQ_0xPJYWE0wd1Mr3n78ylTV_Q&s
63,고추볶음,"고추볶음 : 새우, 닭고기, 쇠고기 등과 함께 고추를 넣어 매콤하게 볶아낸 요리",0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTySPhl7eAyQ2OfOhH6kle5ENClzVsC7zFkVs2d08qyn95TYr0C3222_68XtQ&s
64,고추잡채,고추잡채 : 잘게 썬 돼지고기와 피망을 볶아 만든 중국 음식이다.,0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3BtUr76brlob2Vp3FV5PjNguMJlCAL4fVRh-_RVdBkd-5A7RUiQnxfZGZPIk&s
65,고추장마늘쫑장아찌,마늘종장아찌 : 5~6월 햇 마늘이 나오기 시작하면서 제철인 마늘종을 소금에 살짝 절였다가 달인 간장에 담가 입맛 잃은 여름에 먹는 장아찌,0,0,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX1A4MDRYjOOiwDbeuFpBJAXb8tpWwXm39GHBup_UJPxMtZJ1DuHLft75y&s
66,고추장볶음,"볶음고추장 : 고추장에 다진 소고기 볶음과 꿀이나 설탕, 잣 등을 넣어 볶은 음식이다. 꿀이 들어가 약고추장이라고도 하는데, 흰밥에 반찬으로 올려 먹기도 하고, 비빔밥에 양념장으로 올리기도 한다.",0,0,18,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShpA0OpVZXaFHa6Cja3dVEyFR6UvSs4H_mZjNKd-JxL4mDOUXs8LaBD9qdvQ&s
67,고추장불고기삼각김밥,고추장불고기 삼각김밥 : 소고기나 돼지고기를 고추장 등을 넣고 양념장에 버무려 구워먹는 불고기가 들어간 삼각김밥,0,0,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCLlpQVrAOq8tlMUqmiLF0STW78HuDTsaWSGNarFOn9lzA2nVq2_XjerJKOyY&s
68,고추장아찌,고추장아찌 : 소금물에 삭힌 풋고추를 간장에 절여 만든 밑반찬,0,0,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReG-ehOiITN7-VpTs2QbASXhzLnmdkFo0Wr_zocE8JX57_5YOrlw7owagv4w&s
69,고추장찌개,"고추장찌개 : 고추장에 물을 조금 붓고, 생선·두부·미나리·파 등을 넣고 끓이는 찌개",0,0,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv18S86muEpt_qaQMf3qCavAJjqwonFHF-a_bybe2lqrDsyXz-1crht6cGgw&s
70,고추전,"고추전 : 간 소고기와 두부에 양념을 하여 고루 섞은 것을 씨를 뺀 고추 안쪽에 채워 넣고, 밀가루와 달걀옷을 입혀지진 전이다.",0,0,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwMAQFD3BbErOeNieuLHsdwePPHTpWw21PVYbJe28yZXungbeXw6v58ZJu1Q&s
71,고추조림,고추부각조림 : 고추를 반으로 갈라 씨를 뺀 후 식초와 소금물에 하루 정도 담가 매운맛을 우려내고 밀가루와 쌀가루를 묻혀 찜솥에 쪄내어 햇볕에 말린 다음 식용유에 튀겨 간장에 버무린 다음 통깨를 뿌린 것이다.,0,0,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkHmiVr3aQY7F1PAfBFSkA63USeiubspV2cLJOb5VEScqOvA_54qGcQ_jJ0Oc&s
72,고추튀김,고추튀김 : 끓는 기름에 고추를 밀가루에 묻혀 튀겨낸 요리,0,0,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr4tZ_zHG6T368EKm_eBCVre8wq32FPEJjJmMQBu6pFaLTeIep5zFf-V8uoUk&s
73,고춧잎나물,고춧잎나물 : 고춧잎을 갖은 양념에 볶아 먹는 나물 요리,0,0,23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUg207X9xV5_1NbsmbiWSKbgFOSAtGMXS0YrR7lYriPLCkiOIl-FNKX_jzhj0&s
74,곤드레나물밥,곤드레밥 : 곤드레나물로 지은 밥,0,0,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsp_yEKQMFmiOe6KEAh-PJsAiqhBYm1kVZAWQDSV1w4cEjkcSW3YW88DQQDGk&s
75,곤드레밥,곤드레밥 : 곤드레나물로 지은 밥,0,0,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsp_yEKQMFmiOe6KEAh-PJsAiqhBYm1kVZAWQDSV1w4cEjkcSW3YW88DQQDGk&s
76,곤약무침,곤약무침 : 구약나물의 알줄기로 만든 가공식품에 채소와 같이 양념하여 무친 요리,0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsUqcAgXt0kJh_jxgSFXfk3FLYelhm6_y6kvIVmTTCY5NgzqnTzrjlFspfsQ&s
77,골뱅이국수무침,"골뱅이무침 : 골뱅이에 잘게 찢은 황태포, 오이, 당근 등을 넣어 매콤하게 무친 요리. 국수와 같이 먹기도 한다.",0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-0WiX0EEx43pVVYlSIa4K-VHzUqD1sPjqms34HYSwn4aacsOwNlW1jCDzaw&s
78,골뱅이무침,"골뱅이무침 : 골뱅이에 잘게 찢은 황태포, 오이, 당근 등을 넣어 매콤하게 무친 요리",0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-0WiX0EEx43pVVYlSIa4K-VHzUqD1sPjqms34HYSwn4aacsOwNlW1jCDzaw&s
79,골뱅이무침소면,"골뱅이무침 : 골뱅이에 잘게 찢은 황태포, 오이, 당근 등을 넣어 매콤하게 무친 요리. 소면과 같이 먹기도 한다.",0,0,24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-0WiX0EEx43pVVYlSIa4K-VHzUqD1sPjqms34HYSwn4aacsOwNlW1jCDzaw&s
80,곰보빵,곰보빵 : 빵 표면에 소보로 가루를 묻혀서 오븐에서 구운 달콤한 맛의 일본 빵,0,0,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWlOAwoXGoAgDNzFh9D-_UQo_DjOTjToibaq1Cyji5nFZzDuqnCo265kC9xxU&s
81,곰치국,곰치국 : 곰치로 끓인 해장국,0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-7weD_-2Nynfc603Jv7yOI6Wcf2e0C6bmEUWO25QrytIh75OXGlriFWgfQQ&s
82,곰탕,곰국 : 쇠고기와 내장을 넣고 끓이는 국,0,0,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqGjxqtwdywWKCmGNCYz4gj7SHVUvtgO9KTfxzp6nCCdygAOBbksb9ikPuKw&s
