ingre_no,ingre_ko_name,ingre_en_name,allergy_no
470,볶은커피원두,"roasted coffee beans",0
471,볶은호두,"grilled walnutmeats",13
472,본갈비,"short ribs",0
473,봄동,"seasoned cabbage",0
474,부들,"common cat-tail/ reed-mace",0
475,부채살,"top blade/ top blade muscle",0
476,부추,leek,0
477,부추잎,"leek leaf",0
478,부침가루,"Korean pancake mix",0
479,부평초,duckweed,0
480,"북방산 개구리","dybowski's brown frog",0
481,북어,"dried pollack",0
482,분꽃,"four-o'clock/ marvel of peru",0
483,불린미역,"soaked seaweed",0
484,붕어,"crucian carp",0
485,붕장어,"common conger",0
486,브라질넛,"brazil nut",0
487,브로콜리,broccoli,0
488,브리,"brie cheese",0
489,블랙올리브,"olive nere",0
490,블루베리,blueberry,0
491,비단벌레,"a buprestid",0
492,비둘기,dove,0
493,비엔나소시지,"Vienna sausage",0
494,비자나무,kaya,0
495,비트,beet,0
496,빙어,"pond smelt",0
497,"빨간 고추","red cluster pepper",0
498,빵가루,"bread crumbs",0
499,뽕나무,mulberries,0
500,뽕나무겨우살이잎,"mulberry mistletoe",0
501,뽕나무열매,"a mulberry",0
502,뿔소라,murex,0
503,사골,"marrow bone",0
504,사과,apple,0
505,사과껍질,"apple peel",0
506,사과식초,"cider vinegar",0
507,사과열매,apple,0
508,사슴,deer,0
509,사슴고기,venison,0
510,사슴뿔,"bois de cerf",0
511,사시나무,"aspen/ (white) poplar",0
512,사이다,cider,0
513,사프란암술머리,"saffron crocus",0
514,사프란암술머리추출물,"saffron extract",0
515,산낙지,"sliced R\raw octopus",0
516,산달래어린식물,"long-stamen chive",0
517,산돌배나무열매,"chinese pear/ sand pear",0
518,산둥굴레잎,"var. thunbergii",0
519,산마,"white yam",0
520,산사나무,"haw/ black/ bark",0
521,산사나무잎,"large chinese hawthorn",0
522,산수유,"asiatic cornelian cherry",0
523,산수유열매,"asiatic cornelian cherry",18
524,산약뿌리줄기,dioscoreaceae,0
525,살구,apricot,0
526,살구나무꽃,"apricot flower",0
527,살구나무씨,"apricot tree seed",0
528,살구나무열매,apricot,0
529,살라미,salami,0
530,살벤자리,"jarbua terapon",0
531,살치살,"chuck flap tail",0
532,삶은계란,"boiled egg",1
533,삼겹살,"belly, bacon, side",0
534,삼색제비꽃,pansy,0
535,삼세기,"sea raven/ shaggy sea raven",0
536,삼치,"Japanese Spanish mackerel",0
537,삿갓나물,.,0
538,상수리나무견과,"quercus/ oriental chestnut oak/ acorn",13
539,상추,lettuce,0
540,상추잎,lettuce,0
541,상치,lettuce,0
542,상황버섯,"phellinus linteus",0
543,새꼬막,"ark shell",18
544,새송이버섯,"king oyster mushroom",0
545,새싹채소,"sprout vegetable",0
546,새우,shrimp,9
547,새우살,shrimp,9
548,새우젓,"salted shrimp",9
549,새조개,"egg cockle",18
550,샐러드채소,"salad vegetable",0
551,샐러리,celery,0
552,샐비어,"clary(clary sage)",0
553,생강,ginger,0
554,생강가루,"ginger powders",0
555,생강나무,ginger,0
556,생강뿌리,"ginger/ amomum zingiber",0
557,생강즙,"ginger juice",0
558,생대구,codfish,0
559,생새우,"raw shrimp",9
560,생수,water,0
561,생크림,"freash cream",0
562,샤프란,"saffron/ zafferano",0
563,샴페인,champagne,0
564,서대,tonguefish,0
565,서리태,"green kernel black bean",0
566,서양민들레,dandelion,0
567,서양민들레어린잎,dandelion,0
568,서양민들레잎,"organic dandelion leaf",0
569,서양배,"european pear",0
570,석류,pomegranate,0
571,석류나무열매,"dwarf pomegranate",0
572,석잠풀어린잎,stachys,0
573,선지,clotted？blood？from？slaughtered？cows？and？pigs,0
574,설탕,suger,0
575,성게,"sea urchin",8
576,성게알,"sea urchin roe",8
577,세이지,sage,0
578,셀러리,celery,0
579,셀러리잎,"celery/ smallage/ garden celery/ wild celery",0
580,"소 간",liver,0
581,"소 갈비살",intercostal,0
582,"소 꼬리","ox tail",0
583,"소 안심",tenderloin,0
584,"소 토시살","hanging tender",0
585,소고기,beef,0
586,소금,salt,0
587,소꼬리,"cow tail",0
588,소나무껍질,"pine bark",0
589,소나무뿌리,"korean red pine",0
590,소나무순,"korean red pine",0
591,소라,"spiny turban shell",0
592,소면,"plain noodles",0
593,소시지,sausage,0
594,소주,"soju, Korean distilled spirits",0
595,소철,"sago palm",0
596,소철씨,"sago palm",0
597,속단,續斷,0
598,손바닥선인장,"indian fig/ prickly pear",0
599,손바닥선인장열매,"prickly pear/ indian fig",0
600,손바닥선인장줄기,"indian fig/ prickly pear",0
601,솔잣나무,"stone pine",0
602,솔잣나무견과,"italian stone pine/ mediterranean stone pine",13
603,솜다리어린순,"korean edelweiss",0
604,송사리,"asiatic ricefish",0
605,송어,"cherry salmon/ masou salmon",0
606,송이,"pine mushroom",0
607,송이버섯,"pine mushroom",0
608,송화,松花,0
609,쇠고기,beef,16
610,쇠고기스톡,"beef stock",16
611,쇠뜨기,"horsetail/ field horsetail",0
612,쇠뜨기잎,"horsetail/ field horsetail",0
613,쇠미역,sujime,0
614,쇠비름,"common purselane/ pigweed",0
615,쇠비름순,purslane,0
616,수국,hydrangea,0
617,수국잎,hydrangea,0
618,수닭,"rooster, cock",15
619,수련,"water lily",0
620,수련땅속줄기,"water lily",0
621,수박,watermelon,0
622,수박열매,watermelon,0
623,수박주스,"watermelon juice",0
624,수삼,"fresh ginseng",0
625,수세미,"luffa cylindrica",0
626,수세미오이어린열매,"smooth loofah",0
627,수수,sorghum,0
628,수수씨,sorghum,0
629,수양버들,"weeping willow",0
630,숙주,"bean sprouts",0
631,숙주나물,"bean sprout",0
632,순대,"sundae(Korean sausage)",0
633,순두부,"soft tofu",0
634,순무,turnip,0
635,순무양배추,kohlrabi,0
636,술,alcohol,0
637,숭어,"flathead mullet",0
638,슈가파우더,"powder sugar",0
639,스위티,sweetie,0
640,스타프루트,"star fruit",0
641,스타후르츠,starfruit,0
642,스타후르츠열매,"starfruit/ carambola",0
643,스파게티,spaghetti,0
644,스파게티면,spaghetti,0
645,슬라이스치즈,"slice cheese",0
646,슬라이스햄,"slice ham",0
647,시계꽃,"passion flower",0
648,시금치,spinach,0
649,시금치잎,spinach,0
650,시나몬,cinnamon,0
651,시래기,"dried radish greens",0
652,시리얼,cereal,0
653,시사모,"capelin/ candlefish",0
654,식빵,"(plain) bread",0
655,식용누에번데기,beondegi,0
656,식용달팽이,"an escargot",0
657,식용유,"cooking oil",0
658,식초,vinegar,0
659,신김치,"sour[over-fermented] kimchi",0
660,"신선 참마","fresh yam",0
661,신선바나나,"fresh bananas",0
662,신선토마토,"fresh tomatoes",12
663,"신선한 표고버섯","fresh oak mushroom/ shiitake fungus",0
664,실버베리열매,silverberry,0
665,실파,"a small green onion",0
666,쌀,rice,0
667,쌀가루,"rice flour",0
668,쌀겨기름(미강유),"rice oil",0
669,쌀국수,"rice noodle",0
670,쌀뜨물,"used water from washing rice",0
671,쌈장,ssamjang,0
672,쏘가리,"freshwater mandarin fish",0
673,쏠배감펭,"luna lion fish",0
674,쑥,"mugwort, wormwood",0
675,쑥갓,"crown daisy",0
676,쑥갓잎,"crown daisy",0
677,쑥부쟁이,"aster yomena",0
678,쑥부쟁이어린잎,"aster yomena",0
679,씀바귀,"toothed ixeridium",0
680,씀바귀잎,"korean ixeris",0
681,아구,"anglerfish, monkfish",0
682,아귀,"anglerfish, monkfish",0
683,아기양배추잎,"brussels sprouts",0
684,아라비안자스민꽃,"arabian jasmine",0
685,아로니아열매,"black chokeberry",0
686,아마,flax,0
687,아몬드,almond,13
688,아몬드가루,almond,13
689,아몬드견과,"sweet almond",13
690,아몬드외피,"sweet almond",13
691,아보카도,avocado,0
692,아보카도열매,"avocado/ alligator pear",0
693,"아삭이 고추","chili (pepper)",0
694,아스파라거스,asparagus,0
695,아스파라거스어린순,asparagus,0
696,아오리사과,"green apple",0
697,아욱,"curled mallow",0
698,아카시아,"shittah tree",0
699,아카시아나무꽃,"fleur d'acacia.",0
700,안식향,angelica,0
701,안심,tenderloin,0
702,안심살,tenderloin,0
703,안창살,"outside skirt",0
704,암닭,hen,15
705,앞치마살,"thin flank",0
706,애기나리어린잎,fairy-bells,0
707,애기똥풀,"asian celandine/ greater celandine",0
708,애기원추리어린순,"small yellow daylily",0
709,애플망고,"apple mango",0
710,애플민트,"apple mint/ roundleave mint",0
711,애호박,"green pumpkin/ young pumpkin",0
712,액젓,"aekjeot, fish sauce",0
713,앵두,"korean cherry",0
714,앵두나무열매,"chinese bush cherry",0
715,앵초어린싹,"a primrose",0
716,야생딸기,"wild strawberry",0
717,야자나무,"a palm (tree)",0
718,야콘어린잎,yacon,0
719,양고기,lamb,0
720,양귀비,opium-poppy,0
721,양귀비전초,"opium poppy",0
722,양념,seasoning,0
723,양념장,marinade,0
724,양배추,cabbage,0
725,양상추,"lettuce/ cabbage lettuce",0
726,양상추잎,lettuce,0
727,양송이,"button mushroom",0
728,양송이버섯,"cultivated mushroom",0
729,양쥐돔,acanthuridae,0
730,양지국물,"brisket, flank",0
731,양파,onion,0
732,양파즙,"onion juice",0
733,얘로,yarrow,0
734,어린잎채소,"sprout vegetable",0
735,어묵,"fish cake",0
736,얼갈이배추,"Chinese cabbage, napa cabbage",0
737,얼레지,"dog-tooth violet",0
738,얼음,ice,0
739,엄나무,"castor aralia",0
740,업진살,"short plate",0
741,엉겅퀴,tiger-thistle,0
742,에뮤,"an emu",0
743,"엠보르그 브리","emborg brie",0
744,"엠보르그 카망베르","emborg camembert",0
745,연,lotus,0
746,연겨자,"light mustard",0
747,연근,"lotus root",0
748,연꽃,"lotus flower",0
749,연두부,"soft soybean curd",0
750,연맥,oat,0
751,연어,salmon,0
752,연잎,"a lotus leaf",0
753,열무,"young radish",0
754,열무김치,"young radish kimchi",0
755,염소,goat,0
756,영양부추,chives,0
757,영지버섯,"glossy ganoderma",0
758,오갈피,"stalkless-flower eleuthero",0
759,오갈피나무줄기,"five-leaved aralia",0
760,오골계,"chicken, black bone",0
761,오디,mulberries,0
762,오레가노,oregano,0
763,오렌지,"navel orange",0
764,오리고기,"duck meat",0
765,오미자,schizandra,0
766,오미자열매,schizandra,0
767,오소리,badger,0
768,오약,"lindera root",0
769,오이,cucumber,0
770,오이열매,cucumber,0
771,오이풀,"a burnet",0
772,오이피클,"pickled cucumber",0
773,오징어,squid,17
774,오징어채,"shredded squid",17
775,옥돔,"red tilefish/ red horsehead",0
776,옥수수,"corn/ maize",0
777,옥수수기름,"corn oil",0
778,옥수수통조림,"canned corn",0
779,올리고당,oligosaccharide,0
780,올리브,olive,0
781,"올리브 오일","olive oil",0
782,올리브나무열매,olive,0
783,올리브오일,"olive oil",0
784,올리브유,"olive oil",0
785,와사비,wasabi,0
786,와인,wine,0
787,완두,pea,0
788,완두콩,pisum？sativum,0
789,왕게,"red king crab",8
790,요구르트,yoghurt,0
791,용과,"dragon fruit",0
792,용담(줄기제외),"gentian/ stemless",0
793,용담뿌리,"gentian/ rhizome or root",0
794,우거지,"outer leaves",0
795,우동면,"udong noodle",0
796,우렁이,"freshwater[mud, pond] snail",0
797,우엉,"great burdock",0
798,우유,milk,2
799,울금,turmeric,0
800,원추리,"day lily",0
801,원추리꽃봉오리,"common day liiy/ orange day lily/ day lily",0
802,원추리어린잎,"common day liiy/ orange day lily/ day lily",0
803,월계수잎,"bay leaf",0
804,월넛,walnut,0
805,유부,"fried tofu",0
806,유자,citron,0
807,유자열매,"citron fruit",0
808,유제품,"dairy products",0
809,유채,rapeseed,0
810,유채씨기름,"rape oil",0
811,유칼립투스,"eucalyptus globulus leaves",0
812,"유칼립투스 잎","eucalyptus leaf",0
813,육두구,nutmeg,0
814,육두구씨,"nutmeg seed",0
815,육수,"meat broth, meat stock",0
816,육포,"beef jerky",0
817,육회,"yukhoe, Korean-style raw beef",0
818,윤판나물어린순,"korean disporum",0
819,율무,adlay,0
820,율무씨,"job's tears/ adlay/ adlai/ coicis semen",0
821,은방울꽃,"may lily/ lily of the valley",0
822,은행,maidenhair,13
823,은행나무잎,ginko,0
824,은행열매,ginkgo,13
825,인삼,ginseng,0
826,인삼뿌리,"ginseng root",0
827,인삼열매,"ginseng fruit",0
