food_no,food_class_no,food_name,food_dsc
35,13,감잣국,"감잣국 : 된장을 푼 멸치장국국물에 부채꼴로 썬 감자를 넣고 끓이다가 어슷하게 썬 대파, 다진 마늘을 넣고 한소끔 끓인 국이다."
36,24,갑오징어무침,"오징어무침 : 내장을 제거한 갑오징어를 반 갈라 사선으로 칼집을 넣은 후 적당한 크기로 썰어 끓는 물에 데쳐서 초고추장 양념(고추장, 설탕, 식초, 다진 파ㆍ마늘ㆍ생강, 깨소금, 참기름)으로 무친 것이다."
37,21,갓김치,갓김치 : 갓에 실파를 섞어서 고춧가루와 멸치젓을 많이 넣은 전라도식 김치
38,24,개고기무침,NULL
39,15,개고기전골,NULL
40,23,건취나물,"건취나물 : 취나물국화과에 속하는 풀인 취 중에서 식용 가능한 종류, 말린 것"
41,19,건갈치조림,"갈치조림 : 토막 낸 갈치에 감자, 무 등을 넣고 고추장을 풀어 매콤하게 조린 요리"
42,18,건새우볶음,"건새우볶음 : 말린 새우를 볶고나서 소금, 설탕을 뿌려 간을 맞춘다"
43,18,건표고버섯볶음,표고버섯볶음 : 말린 표고버섯을 부드럽게 불려서 양념하여 볶은 음식이다.
44,1,검정콩밥,검은콩밥 : 검은콩과 쌀은 섞어지은 밥
45,13,게국지,"게국지김치 : 가을철에 얼갈이배추, 게국간장, 늙은 호박, 무, 홍고추, 쪽파 등을 넣어 담근 김치"
46,3,게살죽,"게살죽 : 냄비에 참기름을 두르고 불린 쌀을 넣어 달달 볶다가 육수를 넣고, 마지막에 게살을 넣어 한소끔 끓인다."
47,5,경단,경단 : 한국 고유의 떡
48,1,계란볶음밥,계란볶음밥 : 고슬고슬하게 밥을 지은 뒤 계란과 함께 볶아 먹는 음식
49,20,고구마맛탕,"고구마맛탕 : 껍질을 벗겨 한 입 크기로 썬 고구마에 녹말가루를 묻혀 식용유에 튀겨 낸 뒤 설탕, 물엿 등으로 만든 시럽에 버무린 다음 검은깨를 뿌려 식힌 후식이다."
50,26,고구마전,고구마전 : 얇게 썬 고구마에 밀가루를 묻혀 지진 것이다.
51,23,고구마줄기나물,고구마줄기나물 : 고구마줄기로 볶아 먹는 나물
52,20,고구마튀김,고구마튀김 : 고구마를 먹기 좋은 크기로 썰어 밀가루와 밀가루반죽을 묻혀 기름에 튀긴 음식이다.
53,4,고기만두,"고기만두 : 만두피나 만두소의 재료, 익히는 방법에 따라 다양한 만두가 있다."
54,21,고들빼기,고들빼기김치 : 고들빼기를 주재료로 하여 여러 가지를 섞어서 만든 김치
55,21,고들빼기김치,고들빼기김치 : 고들빼기를 주재료로 하여 여러 가지를 섞어서 만든 김치
56,17,고등어구이,고등어구이 : 손질한 고등어를 석쇠나 팬에 구워 먹는 요리
57,19,고등어조림,고등어조림 : 고등어를 토막내어 양념장을 넣고 조린 음식
58,15,고등어찌개,"고등어찌개 : 고추장, 된장을 푼 물을 팔팔 끓이다가 토막 낸 고등어와 납작하게 썬 무를 넣고 오랫동안 뭉근하게 끓인 후 어슷하게 썬 파, 다진 마늘ㆍ생강, 고춧가루로 양념하고 소금으로 간을 한 것이다."
59,20,고등어튀김,고등어튀김 : 끓는 기름에 고등어를 밀가루에 묻혀 튀겨낸 요리
60,6,고로케,"고로케 : 고로케(コロッケ)는 으깬 감자, 볶은 양파, 다진 고기를 섞어 둥글게 빚은 후 밀가루, 달걀, 빵가루를 입혀 기름에 튀긴 일본 음식이다."
61,23,고사리나물,"고사리볶음 : 고사리에 식용유를 넣고 깨소금, 소금, 참기름을 넣어 살짝 볶아 낸 것"
62,2,고추김밥,"고추김밥 : 김에 밥과 여러 가지 재료를 넣고 말아 싼 음식, 특히 고추가 들어간다."
63,18,고추볶음,"고추볶음 : 새우, 닭고기, 쇠고기 등과 함께 고추를 넣어 매콤하게 볶아낸 요리"
64,18,고추잡채,고추잡채 : 잘게 썬 돼지고기와 피망을 볶아 만든 중국 음식이다.
65,29,고추장마늘쫑장아찌,마늘종장아찌 : 5~6월 햇 마늘이 나오기 시작하면서 제철인 마늘종을 소금에 살짝 절였다가 달인 간장에 담가 입맛 잃은 여름에 먹는 장아찌
66,18,고추장볶음,"볶음고추장 : 고추장에 다진 소고기 볶음과 꿀이나 설탕, 잣 등을 넣어 볶은 음식이다. 꿀이 들어가 약고추장이라고도 하는데, 흰밥에 반찬으로 올려 먹기도 하고, 비빔밥에 양념장으로 올리기도 한다."
67,2,고추장불고기삼각김밥,고추장불고기 삼각김밥 : 소고기나 돼지고기를 고추장 등을 넣고 양념장에 버무려 구워먹는 불고기가 들어간 삼각김밥
68,29,고추장아찌,고추장아찌 : 소금물에 삭힌 풋고추를 간장에 절여 만든 밑반찬
69,15,고추장찌개,"고추장찌개 : 고추장에 물을 조금 붓고, 생선·두부·미나리·파 등을 넣고 끓이는 찌개"
70,26,고추전,"고추전 : 간 소고기와 두부에 양념을 하여 고루 섞은 것을 씨를 뺀 고추 안쪽에 채워 넣고, 밀가루와 달걀옷을 입혀지진 전이다."
71,19,고추조림,고추부각조림 : 고추를 반으로 갈라 씨를 뺀 후 식초와 소금물에 하루 정도 담가 매운맛을 우려내고 밀가루와 쌀가루를 묻혀 찜솥에 쪄내어 햇볕에 말린 다음 식용유에 튀겨 간장에 버무린 다음 통깨를 뿌린 것이다.
72,20,고추튀김,고추튀김 : 끓는 기름에 고추를 밀가루에 묻혀 튀겨낸 요리
73,23,고춧잎나물,고춧잎나물 : 고춧잎을 갖은 양념에 볶아 먹는 나물 요리
74,1,곤드레나물밥,곤드레밥 : 곤드레나물로 지은 밥
75,1,곤드레밥,곤드레밥 : 곤드레나물로 지은 밥
76,24,곤약무침,곤약무침 : 구약나물의 알줄기로 만든 가공식품에 채소와 같이 양념하여 무친 요리
77,24,골뱅이국수무침,"골뱅이무침 : 골뱅이에 잘게 찢은 황태포, 오이, 당근 등을 넣어 매콤하게 무친 요리. 국수와 같이 먹기도 한다."
78,24,골뱅이무침,"골뱅이무침 : 골뱅이에 잘게 찢은 황태포, 오이, 당근 등을 넣어 매콤하게 무친 요리"
79,24,골뱅이무침소면,"골뱅이무침 : 골뱅이에 잘게 찢은 황태포, 오이, 당근 등을 넣어 매콤하게 무친 요리. 소면과 같이 먹기도 한다."
80,6,곰보빵,곰보빵 : 빵 표면에 소보로 가루를 묻혀서 오븐에서 구운 달콤한 맛의 일본 빵
81,13,곰치국,곰치국 : 곰치로 끓인 해장국
82,13,곰탕,곰국 : 쇠고기와 내장을 넣고 끓이는 국
83,18,곱창순대볶음,"곱창순대볶음 : 곱창과 순대에 양배추, 양파, 깻잎, 대파 등을 넣어 매콤하게 볶아낸 요리"
84,15,곱창전골,"곱창전골 : 소의 양, 소창, 대창, 양지머리를 양념해 채소와 섞어 육수를 부어 끓여 만든 음식"
85,22,과일샐러드,과일 샐러드 : 과일이 들어간 샐러드이다.
86,13,광어매운탕,"광어매운탕 : 광어에 채소, 두부, 고춧가루 양념장을 풀어 얼큰하게 끓인 매운탕이다."
87,2,광어초밥,광어초밥 : 식초·소금·설탕으로 조미하여 둥글게 만든 밥위에 광어를 얹어 먹는 음식
88,1,국밥,"국밥 : 뚝배기에 더운밥을 담고 장국을 부어 파, 마늘을 넣어 먹는 밥이다."
89,4,군만두,"군만두 : 군만두는 만두를 빚어 기름에 구운 것으로, 찐만두에 비해 바삭한 맛이 매력이다."
90,13,굴국밥,"굴국밥 : 제철에 나는 싱싱한 굴을 주재료로 무, 두부, 양파, 멸치, 버섯 등을 넣어 끓인 국에 밥을 말아 먹는 국밥 요리다."
91,13,굴무국,"굴무국 : 다시마나 멸치를 우려만든 물에 쇠고기 조금과 무, 굴을 넣고 끓인 요리"
92,24,굴무생채,"굴무생채 : 굴에 무를 채 썰어 식초, 설탕, 고춧가루 등의 양념을 넣고 무쳐 먹는 생채"
93,24,굴무침,굴무침 : 굴에 갖은 양념을 하여 무친 요리
94,17,굴비구이,굴비구이 : 조기를 소금에 절여 말린 것을 굴비라 하며 전라남도 영광산 굴비를 최고로 친다.
95,26,굴전,굴전 : 굴에 밀가루를 묻혀 기름에 지진 부침요리
96,4,굴짬뽕,"짬뽕 : 야채와 돼지고기, 해물 등을 기름에 볶아 닭이나 돼지뼈로 만든 육수를 넣고 끓인 중국식 요리"
97,13,근대된장국,된장국 : 쌀뜨물에 된장과 고추장을 풀어 끓인 국
98,4,기스면,기스면[지쓰몐] : 닭고기 육수에 면을 말아 먹는 요리. 닭고기로 육수를 진하게 내서 가는 면을 말아 먹는 중국요리이다.
99,1,기장밥,기장밥 : 기장쌀과 쌀을 함께 섞어 지은 밥
100,20,김말이튀김,"김말이튀김 : 삶은 당면과 당근, 양파를 식용유를 두른 팬에 볶은 후, 김은 4등분을 해 준비한다."
101,24,김무침,김무침 : 김을 구워서 미나리와 볶은 쇠고기를 넣고 간장 양념에 무친 찬
102,2,김밥,김밥 : 김에 밥과 여러 가지 재료를 넣고 말아 싼 음식
103,13,김치국,NULL
104,2,김치김밥,"김치김밥 : 흰밥을 소금과 참기름으로 간을 한 후, 김 위에 얇게 펴고, 단무지, 시금치나물, 달걀지단, 볶은 당근, 햄 등의 기본재료와 잘게 썬 김치를 넣어 같이 말아 한입 크기로 썰어 먹는 음식이다."
105,4,김치라면,NULL
106,4,김치만두,"김치만두 : 김치만두는 얇게 민 만두피에 잘게 썬 신 김치와 두부, 채소로 만든 소를 넣어 만든 것으로, 우리나라 사람들에게 가장 인기 있는 만두이다."
107,18,김치볶음,"김치볶음 : 신 김치를 파, 다진 마늘 등과 함께 식용유를 두른 팬에 볶는 반찬이다."
108,1,김치볶음밥,김치볶음밥 : 김치를 재료로 만든 볶음밥
109,4,김치우동,NULL
110,26,김치전,"김치전 : 잘게 썬 김치를 밀가루, 계란으로 만든 반죽과 함께 부쳐 먹는 전 요리"
111,15,김치전골,김치전골 : 김치를 주 재료로 하여 만든 전골
112,15,김치찌개,김치찌개 : 김치로 만든 한국 찌개류
113,13,김치콩나물국,"김치콩나물국 : 멸치 국물에 콩나물과 김치, 대파, 다진 마늘, 고춧가루를 넣어 끓인 국이다."
114,13,김칫국,"김칫국 : 멸치 국물에 신 김치와 두부, 콩나물을 넣고 칼칼하게 끓여 먹는 국이다."
115,20,김튀김,김부각 : 김에 찹쌀풀을 발라 참깨와 고춧가루를 뿌려 말렸다 기름에 튀겨먹는 밑반찬
116,21,깍두기,"깍두기 : 무를 소금에 절인 후, 고춧가루를 버무리고 파·마늘 등의 양념을 넣고 담근 음식"
117,20,깐쇼새우,NULL
118,20,깐풍기,깐풍기 : 튀긴 닭고기에 매콤한 소스를 끼얹어 먹는 중국요리
119,5,깨송편,NULL
120,3,깨죽,NULL
121,21,깻잎김치,"깻잎김치 : 늦여름에 삭힌 깻잎, 무, 쪽파, 고춧가루, 멸치액젓 등으로 담근 김치"
122,23,깻잎나물,깻잎나물 : 깻잎을 끓는 물에 살짝 데쳐서 간장 버무려 볶아 먹는 숙채
123,18,깻잎나물볶음,"깻잎나물볶음 : 어린 깻잎을 살짝 데친 후 파, 마늘, 간장 양념을 넣어 볶는 음식으로, 깻잎 특유의 향이 입맛을 돋우는 나물이다."
124,29,깻잎장아찌,깻잎장아찌 : 찐 깻잎을 간장에 숙성시킨 장아찌
125,26,깻잎전,깻잎전 : 깻잎에 고기와 채소를 소로 넣어 만든 전
126,16,깻잎찜,"깻잎찜 : 깻잎에 양념장(간장, 고춧가루, 다진 파ㆍ마늘, 참기름, 깨소금)을 켜켜이 얹고 찜통에 찐 것이다."
127,13,꼬리곰탕,꼬리곰탕 : 쇠꼬리를 푹 고아서 만든 한국 전래의 보양음식
128,16,꼬막찜,꼬막무침 : 소금물에 데친 꼬막을 간장양념장이나 초고추장과 함께 먹는 숙회
129,17,꽁치구이,꽁치구이 : 손질하여 칼집을 넣은 꽁치에 소금을 뿌려서 석쇠나 식용유를 두른 팬에 구운 음식이다.
130,15,꽁치김치찌개,"꽁치김치찌개 : 냄비에 기름을 두르고 신 김치와 마늘을 볶다가 육수를 넣고 김치가 무르면 쉽게 구할 수 있는 통조림 꽁치를 넣고, 고춧가루, 다진 마늘, 대파, 풋고추 등을 넣어 마무리한다."
131,19,꽁치조림,"꽁치조림 : 토막 낸 꽁치를 양념장(간장, 고춧가루, 다진 파ㆍ마늘)으로 조린 것이다."
132,15,꽁치찌개,NULL
133,16,꽃게콩나물찜,NULL
134,15,꽃게탕,NULL
135,18,꽈리고추멸치볶음,"꽈리고추멸치볶음 : 끓인 간장 양념(간장, 다진 마늘, 설탕, 식용유)에 데친 꽈리고추와 멸치를 넣어 볶아 참기름, 물엿, 통깨를 넣고 버무린 것이다."
136,16,꽈리고추찜,꽈리고추찜 만드는 법 : 꽈리고추를 찜통에 찐 후 양념장에 곁들여 먹는 조리법
137,6,꽈배기,꽈배기 : 반죽한 밀가루를 길게 늘여 두 가닥으로 꺾어 새끼 꼬듯이 꼬아 식용유에 튀겨 낸 유밀과
138,5,꿀떡,"꿀떡 : 찹쌀가루에 꿀을 섞어 체에 내린 뒤 밤, 대추, 잣 등을 켜켜이 넣고 찌거나 또는 찹쌀가루 반죽에 꿀이나 설탕을 넣고 모양을 빚어 만든 떡이다."
139,21,나박김치,나박김치 : 배추와 무를 주재료로 해서 담근 국물김치
140,1,낙지덮밥,NULL
141,24,낙지무침,NULL
142,18,낙지볶음,낙지볶음 : 낙지를 양념에 무친 후 센 불에 볶아낸 것
143,15,낙지전골,낙지전골 : 낙지와 쇠고기에 양념을 넣어 끓이는 한국요리
144,16,낙지찜,"낙지찜 : 낙지에 고춧가루, 다진 마늘 등을 섞어 만든 양념장을 넣어 매콤하게 익히고 콩나물을 얹어 찐 음식이다."
145,13,낙지탕,NULL
146,18,난자완스,난젠완쯔 : 쇠고기 또는 돼지고기를 다져서 완자를 만들어 튀긴 다음 야채와 함께 볶은 중국요리
147,2,날치알김밥,NULL
148,15,내장전골,전골 : 여려 재료를 전골냄비에 넣어 간을 한 육수 부어 끓여 만든 음식
149,15,내장탕,내장탕 : 돼지나 소의 내장으로 끓여낸 탕 요리이다.
150,4,냉김치말이국수,NULL
151,23,냉이나물,냉이나물 : 냉이를 끓는 물에 살짝 데쳐서 초고추장 양념에 무쳐먹는 숙채
152,13,냉이된장국,"냉이된장국 : 쌀뜨물이나 멸치 육수에 된장을 풀어 끓이다가 냉이, 두부, 파를 넣고 한소끔 더 끓인 된장국이다."
153,15,냉이된장찌개,NULL
154,1,광어회덮밥,넙치 : 가자미과에 속하는 납작한 바다 생선으로 주로 해안을 따라 서식한다.
155,24,노각무침,노각무침 : 노각은 완전히 익어 표면의 색깔이 누렇게 된 늙은 오이를 말한다.
156,26,녹두빈대떡,"녹두지짐 : 녹두를 갈아서 고사리, 숙주 등 야채와 돼지고기, 김치를 넣고 기름에 지져내는 음식"
157,24,느타리버섯무침,NULL
158,18,느타리버섯볶음,"느타리버섯볶음 : 데친 느타리버섯을 넣고 당근, 양파 같은 야채들을 채 썰어 함께 볶아 먹는다."
159,24,다시마무침,NULL
160,20,다시마튀각,다시마튀각 : 손질한 다시마를 깨끗한 기름에 튀기고 통깨와 설탕을 뿌려 먹는 마른 찬
161,29,단무지,단무지 : 소금에 절인 무를 쌀겨 등에 파묻어서 발효시킨 음식이다.
162,24,단무지무침,NULL
163,22,단호박샐러드,NULL
164,16,단호박찜,NULL
165,13,달걀국,"달걀국 : 끓는 물에 채 썬 양파와 다진 마늘, 소금을 넣고 끓이다가 달걀을 풀어 넣고 국물이 맑게 될 때까지 끓인 다음 어슷하게 썬 대파와 깨소금을 넣은 것이다."
166,4,달걀라면,NULL
167,26,달걀말이,계란말이 : 계란을 풀어 간을 하고 기름 두른 팬에 얇게 펴서 돌돌 말아낸 한국 요리
168,19,달걀장조림,"달걀장조림 : 달걀을 삶아 껍질을 깐 다음 깍둑썰기 한 당근, 대파와 함께 간장, 설탕, 후춧가루를 넣고 조린 것이다."
169,19,달걀조림,NULL
170,16,달걀찜,"달걀찜 : 달걀을 풀어 물을 섞고 새우젓, 소금, 다진 파를 넣은 다음 솥에 중탕으로 찐 것이다."
171,26,달걀프라이,NULL
172,26,달걀후라이,NULL
173,24,달래나물무침,NULL
174,15,달래된장찌개,달래된장찌개 : 된장을 푼 물에 달래와 갖은 채소를 넣어 끓인 찌개
175,24,달래무침,"달래무침 : 달래를 간장, 고춧가루, 깨소금, 참기름 등의 양념에 무쳐먹는 생채"
176,10,닭가슴살샌드위치,NULL
177,22,닭가슴살샐러드,NULL
178,18,닭가슴살피망볶음,NULL
179,17,닭갈비,"춘천닭갈비 : 양념 고추장에 재워 둔 닭갈비를 양배추, 고구마, 당근, 파 위에 얹어 함께 볶은 것"
180,20,닭강정,닭강정 : 닭고기를 기름에 튀긴 후 양념장에 조린 강정요리
181,13,닭개장,육개장 : 쇠고기를 삶아서 찢어 양념하여 맵게 끓이는 국
182,24,닭고기냉채,NULL
183,1,닭고기덮밥,NULL
184,18,닭고기볶음,NULL
185,13,닭고기육개장,육개장 : 쇠고기를 삶아서 찢어 양념하여 맵게 끓이는 국
186,19,닭고추장조림,NULL
187,13,닭곰탕,닭곰탕 : 닭을 손질하여 찬물에 넣고 푸욱 무르도록 익힌 후 고기는 살만 발라 양념을 해서 다시 닭 육수에 넣어 끓인 음식이다.
188,17,닭구이,닭구이 : 닭고기를 저며 소금을 뿌리고 양념을 하여 구운 것
189,17,닭꼬치,NULL
190,17,닭날개구이,닭구이 : 닭고기를 저며 소금을 뿌리고 양념을 하여 구운 것
191,20,닭날개튀김,NULL
192,17,닭다리구이,NULL
193,19,닭도리탕,닭볶음탕 : 닭과 감자를 먹기 좋게 도막 내어 냄비에 넣고 매운 양념장과 버무려 바특하게 끓여 낸 닭고기 요리
194,18,닭모래집볶음,NULL
195,17,닭발구이,NULL
196,18,닭발볶음,NULL
197,13,닭백숙,"닭 백숙 : 손질한 닭에 물을 붓고 끓인 후 여기에 씻어 놓은 찹쌀과 마늘, 인삼을 넣어 끓인 국"
198,18,닭볶음,"닭볶음 : 토막 내어 데친 닭고기, 감자, 당근에 고추장 양념(고추장, 고춧가루, 간장, 설탕, 다진 파ㆍ마늘ㆍ생강, 후춧가루)을 넣고 물을 부어 끓이다가 양파와 풋고추, 붉은 고추를 넣고 한소끔 더 끓인 것이다."
199,15,닭볶음탕,닭볶음탕 : 닭과 감자를 먹기 좋게 도막 내어 냄비에 넣고 매운 양념장과 버무려 바특하게 끓여 낸 닭고기 요리
200,19,닭조림,"닭조림 : 토막 낸 닭과 깍둑썰기 한 당근ㆍ감자ㆍ양파, 어슷하게 썬 수삼ㆍ붉은 고추에 간장 양념(간장, 다진 마늘ㆍ생강, 설탕, 물엿, 참기름, 물)을 넣고 조린 것을 말하며, 그릇에 담아 낼 때 고명으로 잣을 올린다."
201,3,닭죽,닭죽 : 닭에 물을 부어 고은 다음 육수에 닭고기 찢은 것과 불린 쌀을 함께 넣어 끓인 음식
202,16,닭찜,안동찜닭 : 경상북도 안동에서 유래한 음식으로 삶은 닭에 소스 온갖 채소와 양념을 섞어 졸인 요리
203,4,닭칼국수,"닭칼국수 : 닭을 고아서 우려낸 육수에 칼국수를 넣어 끓인 후, 닭고기 살을 발라 양념한 것을 올려 먹는 음식이다."
204,20,닭튀김,NULL
205,18,당근볶음,NULL
206,15,대구매운탕,NULL
208,16,대구볼찜,"대구볼찜 : 대구머리와 콩나물에 고운 고춧가루, 다진 마늘, 소금, 물을 넣고 끓이다가 양념장(생강즙, 국간장, 청주, 육수, 참기름, 깨소금, 후춧가루)에 찹쌀가루를 섞어 넣고 걸쭉하게 익혀 미나리와 대파를 넣은 것이다."
209,13,대구지리탕,NULL
210,16,대구찜,NULL
211,25,대구포,NULL
212,13,대합미역국,NULL
213,17,더덕구이,더덕구이 : 더덕으로 하는 한국요리
214,24,더덕무침,더덕무침 만드는 법 : 더덕에 갖은 양념을 하여 무친 요리
215,29,더덕장아찌,"더덕장아찌 : 고추장에 박아 둔 더덕에 간이 배이면 꺼내서 찢어 참기름, 설탕 등을 넣어 무친 장아찌"
216,13,도가니탕,도가니탕 만드는 법 : 소의 무릎뼈를 고아 만드는 보양음식의 조리법
217,6,도넛,NULL
218,23,도라지나물,도라지나물 : 도라지로 만든 나물
219,24,도라지생채,"도라지생채 : 손질한 생도라지에 설탕, 식초, 고춧가루 등을 넣어 맛을 낸 생채"
220,24,"도라지생채,오이","도라지생채 : 손질한 생도라지에 설탕, 식초, 고춧가루 등을 넣어 맛을 낸 생채"
221,24,"도라지생채,오징어채","도라지생채 : 손질한 생도라지에 설탕, 식초, 고춧가루 등을 넣어 맛을 낸 생채"
222,24,도라지오이생채,NULL
223,17,도미구이,도미구이 : 손질한 도미를 참기름을 발라가며 석쇠에 구운 음식이다.
224,16,도미찜,NULL
225,31,도토리묵,"도토리묵 : 곱게 간 도토리가루를 물에 담가서 떫은맛을 우려낸 후, 앙금만 모아서 끓이고 식혀서 굳힌 것"
226,24,도토리묵무침,도토리묵무침 : 도토리묵을 쑤어 야채를 넣고 양념간장에 무쳐 낸 묵무침
227,31,도토리묵말이,NULL
229,2,돈까스김밥,NULL
230,24,돌나물,돌나물 : 돌나물은 봄철 대표적인 나물인데요.
231,24,돌나물무침,NULL
232,21,돌나물물김치,"돌나물물김치 : 돌나물에 미나리, 당근, 무, 생강, 마늘로 양념하여 고춧가루로 만든 국물을 부어 담근 김치"
233,1,돌솥비빔밥,돌솥비빔밥 : 곱돌솥에 밥을 하여 여러 가지 재료를 넣고 따뜻하게 먹는 비빔밥
234,26,동그랑땡,"동그랑땡 : 동그랑땡은 고기 완자 전을 말하는데, 동그랗게 생긴 모양으로 인해 부르게 된 명칭이다."
235,21,동치미,동치미 : 통째 또는 크게 썬 무를 잠깐 절여 국물을 흥건하게 하여 심심하게 담근 김치
236,13,동태국,NULL
237,20,동태까스,NULL
238,15,동태매운탕,NULL
239,26,동태전,"동태전 : 소금, 후춧가루로 밑간한 동태포에 밀가루와 달걀물을 입혀 식용유를 두른 팬에 지진 것이다."
240,19,동태조림,NULL
241,15,동태찌개,"동태찌개 : 끓는 물에 된장, 고추장을 풀어 한소끔 끓으면 나박썰기 한 무와 토막 낸 동태를 넣고 끓이다가 다진 마늘ㆍ생강, 고춧가루, 채 썬 양파, 두부를 넣고 끓여 소금으로 간한 것이다."
242,16,동태찜,동태찜 : 명태를 급속 냉동시킨 것이 동태다.
243,17,돼지갈비,NULL
244,17,돼지갈비구이,돼지갈비구이 : 돼지갈비로 만든 구이요리
245,17,간장돼지갈비구이,돼지갈비구이 : 돼지갈비로 만든 구이요리
246,16,돼지갈비찜,돼지갈비찜 : 돼지갈비를 이용해서 만든 찜
